,Category,Sub-Category,Number_of_Products
611,LED LCD TVs,LED LCD TVs,86
612,OLED TVs,OLED TVs,10
613,QLED LCD TVs,QLED LCD TVs,18
614,8K Ultra HD TVs,QLED LCD TVs,3
615,4K Ultra HD TVs,LED LCD TVs,71
616,4K Ultra HD TVs,OLED TVs,10
617,4K Ultra HD TVs,QLED LCD TVs,15
618,Projectors & Screens,Projector Screens,16
619,Projectors & Screens,Projectors,7
620,Hi Fi Systems,CD Player,1
621,Hi Fi Systems,Micro Hi-Fi Systems,9
622,Hi Fi Systems,Mini Hi-Fi Systems,3
623,Hi Fi Systems,Speaker Systems,1
624,Hi Fi Systems,Wireless Multiroom Systems,3
625,Analogue/Digital Radios,Analogue Radio,1
626,Analogue/Digital Radios,Clock Radios,9
627,Analogue/Digital Radios,Digital Radios,26
628,Analogue/Digital Radios,Portable Radios,11
629,Bluetooth Speakers,Bluetooth Speakerphones,1
630,Bluetooth Speakers,Portable Bluetooth Speakers,57
631,Bluetooth Speakers,Speaker Systems,2
632,Bluetooth Speakers,Voice Assistant,2
633,Audio Accessories,Accessories,1
634,Audio Accessories,Adapters,8
635,Audio Accessories,Cables,4
636,Audio Accessories,Chargers,1
637,Audio Accessories,Wireless Adapters,1
638,CD Players & Turntables,Portable CD Players,2
639,CD Players & Turntables,Portable Radios,1
640,CD Players & Turntables,Turntables,18
641,iPods,iPod,6
642,"iPod Chargers, Cables & Adapters",Cables,12
643,"iPod Chargers, Cables & Adapters",Chargers,3
644,iTunes Gift Cards,Gift Cards,4
645,In Ear Headphones,Headphone Tips,4
646,In Ear Headphones,In-Ear Headphones,92
647,In Ear Headphones,Wireless Fitness Headphones,1
648,In Ear Headphones,Wireless Headphones,17
649,On Ear Headphones,Gaming Headsets,9
650,On Ear Headphones,Noise Cancelling Headphones,1
651,On Ear Headphones,On-Ear Headphones,34
652,On Ear Headphones,Over-Ear Headphones,5
653,On Ear Headphones,Wireless Headphones,12
654,Over Ear Headphones,Gaming Headsets,7
655,Over Ear Headphones,Noise Cancelling Headphones,1
656,Over Ear Headphones,On-Ear Headphones,2
657,Over Ear Headphones,Over-Ear Headphones,48
658,Over Ear Headphones,Wireless Headphones,11
659,Wireless Headphones,Bluetooth Headsets,3
660,Wireless Headphones,Chargers,1
661,Wireless Headphones,Gaming Headsets,8
